Data (link pndb),Title,Description,Species,Gbif link,text,Extracted,Ground Truth,Precision,Recall,F1,Accuracy,Accepted Names,Misspelled Names,Unrecognised Names
https://pndb.opendatasoft.com/explore/assets/la-flore-adventice-associee-au-semis-direct-sous-couvert-enquete-sur-un-reseau-dagriculteurs-en-bourgogne-franche-comte-2018-2019/,La flore adventice associée au semis direct sous couvert. Enquête sur un réseau d'agriculteurs en Bourgogne-Franche-Comté: 2018-2019.,"Lien vers les données
Les données contenues dans ce jeu de données correspondent aux observations faites lors de relevés de flore effectués sur les parcelles d’un réseau de soixante-deux agriculteurs en agriculture de conservation de la région Bourgogne-Franche et du département de la Haute Marne. Cent soixante-seize parcelles ont été échantillonnées (134 en blé tendre et 42 en soja) deux à trois fois au cours de l’année culturale. Ce sont 452 relevés floristiques qui ont ainsi été réalisés au cours de deux années successives (2018 et 2019).",,,"La flore adventice associée au semis direct sous couvert. Enquête sur un réseau d'agriculteurs en Bourgogne-Franche-Comté: 2018-2019. Lien vers les données
Les données contenues dans ce jeu de données correspondent aux observations faites lors de relevés de flore effectués sur les parcelles d’un réseau de soixante-deux agriculteurs en agriculture de conservation de la région Bourgogne-Franche et du département de la Haute Marne. Cent soixante-seize parcelles ont été échantillonnées (134 en blé tendre et 42 en soja) deux à trois fois au cours de l’année culturale. Ce sont 452 relevés floristiques qui ont ainsi été réalisés au cours de deux années successives (2018 et 2019).",,,1.0,1.0,1.0,1.0,{},[],[]
https://pndb.opendatasoft.com/explore/assets/mesure-colibri-juin-2017-zatu/,Mesure Colibri juin 2017 ZATU,"Lien vers la fiche source
Prise de mesure à l'aide d'un colibri (Canberra) pour la réalisation d'une cartographie gamma du site de Rophin et de ses environs. Les données contiennent les positionnements GPS, la mesure en nano-sievert par heure, le débit de dose, la dose cumulée et le coefficient de calibration. Contributeurs : IPHC",,,"Mesure Colibri juin 2017 ZATU Lien vers la fiche source
Prise de mesure à l'aide d'un colibri (Canberra) pour la réalisation d'une cartographie gamma du site de Rophin et de ses environs. Les données contiennent les positionnements GPS, la mesure en nano-sievert par heure, le débit de dose, la dose cumulée et le coefficient de calibration. Contributeurs : IPHC",,,1.0,1.0,1.0,1.0,{},[],[]
https://pndb.opendatasoft.com/explore/assets/ghrsst-level-2p-global-near-real-time-subskin-sea-surface-temperature-version-82-v82-from-the-advanced-microwave-scanning-radiometer-2-amsr2-on-the-gcom-w-satellite-by-remss/,GHRSST Level 2P Global Near-Real-Time Subskin Sea Surface Temperature version 8.2 (v8.2) from the Advanced Microwave Scanning Radiometer 2 (AMSR2) on the GCOM-W satellite by REMSS,"Lien vers les données
This product provides a “Final” (Refined) Level-2 Sea Surface Temperature (SST) (currently identified by ""v8.2"" within the file name) for the Group for High Resolution Sea Surface Temperature (GHRSST) Project, which is derived from the Advanced Microwave Scanning Radiometer 2 (AMSR2) by Remote Sensing Systems (RSS, or REMSS). AMSR2 was launched on 18 May 2012, onboard the Global Change Observation Mission - Water (GCOM-W) satellite developed by the Japan Aerospace Exploration Agency (JAXA). The GCOM-W mission aims to establish the global and long-term observation system to collect data, which is needed to understand mechanisms of climate and water cycle variations, and demonstrate its utilization. AMSR2 onboard the first generation of the GCOM-W satellite will continue Aqua/AMSR-E observations of water vapor, cloud liquid water, precipitation, SST, sea surface wind speed, sea ice concentration, snow depth, and soil moisture. AMSR2 is a remote sensing instrument for measuring weak microwave emission from the surface and the atmosphere of the Earth. The antenna of AMSR2 rotates once per 1.5 seconds and obtains data over a 1450 km swath. This conical scan mechanism enables AMSR2 to acquire a set of daytime and nighttime data with more than 99% coverage of the Earth every 2 days. The “Final” SSTs are processed when RSS receives the atmospheric model National Center for Environmental Prediction (NCEP) Final Analysis (FNL) Operational Global Analysis. The NCEP wind directions are particularly useful for retrieving more accurate SSTs and wind speeds.",,,"GHRSST Level 2P Global Near-Real-Time Subskin Sea Surface Temperature version 8.2 (v8.2) from the Advanced Microwave Scanning Radiometer 2 (AMSR2) on the GCOM-W satellite by REMSS Lien vers les données
This product provides a “Final” (Refined) Level-2 Sea Surface Temperature (SST) (currently identified by ""v8.2"" within the file name) for the Group for High Resolution Sea Surface Temperature (GHRSST) Project, which is derived from the Advanced Microwave Scanning Radiometer 2 (AMSR2) by Remote Sensing Systems (RSS, or REMSS). AMSR2 was launched on 18 May 2012, onboard the Global Change Observation Mission - Water (GCOM-W) satellite developed by the Japan Aerospace Exploration Agency (JAXA). The GCOM-W mission aims to establish the global and long-term observation system to collect data, which is needed to understand mechanisms of climate and water cycle variations, and demonstrate its utilization. AMSR2 onboard the first generation of the GCOM-W satellite will continue Aqua/AMSR-E observations of water vapor, cloud liquid water, precipitation, SST, sea surface wind speed, sea ice concentration, snow depth, and soil moisture. AMSR2 is a remote sensing instrument for measuring weak microwave emission from the surface and the atmosphere of the Earth. The antenna of AMSR2 rotates once per 1.5 seconds and obtains data over a 1450 km swath. This conical scan mechanism enables AMSR2 to acquire a set of daytime and nighttime data with more than 99% coverage of the Earth every 2 days. The “Final” SSTs are processed when RSS receives the atmospheric model National Center for Environmental Prediction (NCEP) Final Analysis (FNL) Operational Global Analysis. The NCEP wind directions are particularly useful for retrieving more accurate SSTs and wind speeds.",,,1.0,1.0,1.0,1.0,{},[],['sea']
https://pndb.opendatasoft.com/explore/assets/dataset-of-male-and-female-reproductive-success-in-the-forest-tree-species-abies-alba-mill/,Dataset of male and female reproductive success in the forest tree species Abies alba Mill.,"Lien vers les données
Silver fir (Abies alba Mill.) is a shade tolerant European conifer, distributed across temperate mountain areas (e.g. in France: Pyrenees, Massif Central, Alps, Jura, Vosges, Montagne de l'Aigle), at moderate elevations between 300 and 1800 meters above sea level. This monoecious, wind-pollinated species is self-compatible and has a mixed mating system, although it passively avoids self-fertilization (geitonogamy): female strobili (i.e. cones) are located within the top third of the crown, whereas male strobili (catkins) are located within the bottom two thirds of the crown.
The dataset includes male and female reproductive yield (pollen and cone production), tree location, tree density, height, circumference and crown shape, quality of seeds (filled versus empty seeds and selfing rate), and seed weight of 148 silver fir trees from two marginal mountains in the south-eastern French Alps, Ventoux and Lure, monitored over a period of four years (2002-2005). This period includes year 2003, characterized by an intense summer heat wave in that part of France. The data also include selfing rate calculated using genotyping of chloroplast DNA (microsatellites) as explained in the PhD thesis of G. Restoux (2009). The data can be used to test the effect of environmental drivers on selfing and female reproductive success and shed light on the evolution of mixed mating in plants.
The data are in file ""Data_selfing"" and the description of the dataset contents is in file ""MetaData_Selfing_En"" for the English version of the metadata and in file ""MetaData_Selfing_Fr"" for the French version.",Abies alba,https://www.gbif.org/fr/species/2685484,"Dataset of male and female reproductive success in the forest tree species Abies alba Mill. Lien vers les données
Silver fir (Abies alba Mill.) is a shade tolerant European conifer, distributed across temperate mountain areas (e.g. in France: Pyrenees, Massif Central, Alps, Jura, Vosges, Montagne de l'Aigle), at moderate elevations between 300 and 1800 meters above sea level. This monoecious, wind-pollinated species is self-compatible and has a mixed mating system, although it passively avoids self-fertilization (geitonogamy): female strobili (i.e. cones) are located within the top third of the crown, whereas male strobili (catkins) are located within the bottom two thirds of the crown.
The dataset includes male and female reproductive yield (pollen and cone production), tree location, tree density, height, circumference and crown shape, quality of seeds (filled versus empty seeds and selfing rate), and seed weight of 148 silver fir trees from two marginal mountains in the south-eastern French Alps, Ventoux and Lure, monitored over a period of four years (2002-2005). This period includes year 2003, characterized by an intense summer heat wave in that part of France. The data also include selfing rate calculated using genotyping of chloroplast DNA (microsatellites) as explained in the PhD thesis of G. Restoux (2009). The data can be used to test the effect of environmental drivers on selfing and female reproductive success and shed light on the evolution of mixed mating in plants.
The data are in file ""Data_selfing"" and the description of the dataset contents is in file ""MetaData_Selfing_En"" for the English version of the metadata and in file ""MetaData_Selfing_Fr"" for the French version.",,Abies alba,1.0,0.0,0.0,0.0,{},[],"['abies alba mill.', 'fir', 'abies alba mill', 'silver fir']"
https://pndb.opendatasoft.com/explore/assets/abondance-de-juveniles-de-sole-commune-solea-solea-observee-lors-des-campagnes-scientifiques-sur-la-periode-1998-2009/,Abondance de juvéniles de sole commune (Solea solea) observée lors des campagnes scientifiques sur la période 1998 – 2009,"Lien vers les données
L'abondance de juvéniles de sole commune (Solez solea) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : Baie de Seine (1998-2002), Baie de Somme (2005-2009), Nurse Loire et Gironde (2000-2003), Nurse Vilaine (2003-2009), PECOS (2004-2006). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).",Solea solea,https://www.gbif.org/species/5214139,"Abondance de juvéniles de sole commune (Solea solea) observée lors des campagnes scientifiques sur la période 1998 – 2009 Lien vers les données
L'abondance de juvéniles de sole commune (Solez solea) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : Baie de Seine (1998-2002), Baie de Somme (2005-2009), Nurse Loire et Gironde (2000-2003), Nurse Vilaine (2003-2009), PECOS (2004-2006). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).",Solea solea,Solea solea,1.0,1.0,1.0,1.0,{'Solea solea': 'https://www.gbif.org/species/5214139'},[],[]
https://pndb.opendatasoft.com/explore/assets/rhoneco-baix-le-logis-neuf-2010-2018-suivi-scientifique-du-programme-de-restauration-hydraulique-et-ecologique-du-rhone/,RhônEco - Baix-le-Logis-neuf 2010-2018 : Suivi scientifique du programme de restauration hydraulique et écologique du Rhône,"Lien vers la fiche source
Suivi des vieux-Rhône : chenal principal du Rhône - Suivi des peuplements de macroinvertébrés benthiques entre 2011 et 2017 - Suivi des peuplements de poissons sur la période 2010-2018 CONTEXTE : évaluation des effets de l'augmentation du débit réservé dans le vieux-Rhône et de la restauration physique des lônes AUTEURS: LEHNA-IRSTEA Lyon FINANCEURS, PROPRIETAIRES : Agence de l'Eau RM&C, Région Rhône-Alpes (FEDER), Région Provence Alpes-Côte d'Azur, Compagnie Nationale du Rhône, EDF, Syndicat du Haut-Rhône",,,"RhônEco - Baix-le-Logis-neuf 2010-2018 : Suivi scientifique du programme de restauration hydraulique et écologique du Rhône Lien vers la fiche source
Suivi des vieux-Rhône : chenal principal du Rhône - Suivi des peuplements de macroinvertébrés benthiques entre 2011 et 2017 - Suivi des peuplements de poissons sur la période 2010-2018 CONTEXTE : évaluation des effets de l'augmentation du débit réservé dans le vieux-Rhône et de la restauration physique des lônes AUTEURS: LEHNA-IRSTEA Lyon FINANCEURS, PROPRIETAIRES : Agence de l'Eau RM&C, Région Rhône-Alpes (FEDER), Région Provence Alpes-Côte d'Azur, Compagnie Nationale du Rhône, EDF, Syndicat du Haut-Rhône",,,1.0,1.0,1.0,1.0,{},[],['macroinvertebres benthiques']
https://pndb.opendatasoft.com/explore/assets/distribution-de-mimachlamys-varia-cperm-367-aphiaid-236719-en-atlantique/,"Distribution de Mimachlamys varia (CPERM 367, AphiaID 236719) en ATLANTIQUE","Lien vers les données
Distribution du taxon Mimachlamys varia établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Mimachlamys varia,https://www.gbif.org/fr/species/4373480,"Distribution de Mimachlamys varia (CPERM 367, AphiaID 236719) en ATLANTIQUE Lien vers les données
Distribution du taxon Mimachlamys varia établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Mimachlamys varia,Mimachlamys varia,1.0,1.0,1.0,1.0,{'Mimachlamys varia': 'https://www.gbif.org/species/4373480'},[],['mimachlamys']
https://pndb.opendatasoft.com/explore/assets/donnees-annuelles-de-2014-a-2019issues-des-enquetes-sur-les-pratiques-agricoles-phytosanitairesfertilisation-et-travail-du-sol-dans-les-parcelles-du-reseau-sebiopagsite-detude-des-vallees-et-coteaux-de-gascogne/,"Données annuelles de 2014 à 2019,issues des enquêtes sur les pratiques agricoles (phytosanitaires,fertilisation et travail du sol) dans les parcelles du réseau SEBIOPAG,site d'étude des Vallées et Coteaux de Gascogne","Lien vers les données
Données d'enquêtes sur les pratiques agricoles effectuées,obtenues annuellement auprès des agriculteurs du réseau. Saisies sous la base nationale Agrosyst",,,"Données annuelles de 2014 à 2019,issues des enquêtes sur les pratiques agricoles (phytosanitaires,fertilisation et travail du sol) dans les parcelles du réseau SEBIOPAG,site d'étude des Vallées et Coteaux de Gascogne Lien vers les données
Données d'enquêtes sur les pratiques agricoles effectuées,obtenues annuellement auprès des agriculteurs du réseau. Saisies sous la base nationale Agrosyst",,,1.0,1.0,1.0,1.0,{},[],[]
https://pndb.opendatasoft.com/explore/assets/inventaire-des-herbiers-a-zostera-noltii-dans-la-masse-deau-cotiere-pertuis-charentais-etat-2007-surveillance-dce/,Inventaire des herbiers à Zostera noltii dans la masse d’eau côtière Pertuis charentais. Etat 2007 surveillance DCE,"Lien vers les données
La répartition des herbiers de Zostera noltii Hornemann, 1832 sur les estrans de la baie de Marennes-Oléron présents dans la masse d’eau côtière FRFC02 « Pertuis charentais » a été cartographiée en 2007 dans le cadre du contrôle de surveillance DCE sous l’égide d’Ifremer et de l’Agence de l’Eau Adour-Garonne. L’emprise géographique des estrans dans la masse d’eau côtière s’étend sur Oléron de Boyardville au Nord jusqu’à Gatseau au Sud puis sur le continent de Bourcefranc le Chapus jusqu’à la plage de la Cèpe en passant par la plage de Marennes et l’embouchure de la Seudre. Sont contributrices les données issues de l’analyse d’une image SPOT 5 acquises le 08/09/2006 et traitée en indice de végétation par GéoTransfert, des vérités terrains avec relevés GPS, contours des périmètres d’herbier et estimations des pourcentages de recouvrement (< 25% ; entre 25 et 75% et > 75%), lors des prospections DCE au cours de l’été 2007 par LIENSs et de la photo interprétation des Ortholittorale2000 afin de guider les prospections terrains. Les indices de végétations ont été traduits par ajustement linéaire en pourcentages de recouvrement à partir des vérités terrain comportant plus de 910 points d’observations. L’herbier à Zostera noltii des estrans de l’île d’Oléron se repartit principalement entre la Perrotine et St Trojan. De petits herbiers sont présents au nord de Bourcefranc le Chapus mais présentent leur plein développement du Chapus jusqu’à l’embouchure de la Seudre. Les herbiers des estrans de La Tremblade à Ronce-les-bains sont très clairsemés et peu denses. Au total l’ensemble de l’herbier couvre une superficie de plus de 1300 ha. L’herbier le plus dense et le plus continu se situe dans le périmètre de la réserve naturelle de Moëze Oléron ente Boyardville et le Château. Les herbiers sont néanmoins impactés par la pêche à pied aux coquillages fouisseurs en particulier au Sud du Château d’Oléron. Zostera marina n’est pas observée sur les estrans de cette masse d’eau Nord et bien qu’historiquement connue sur le Nord et l’Ouest d’Oléron ne doit pas y trouver un habitat potentiel. Cette carte est présentée dans les documents DCE (Sauriau et al., 2008) du contrôle de surveillance de l’herbier de Zostera noltii de la masse d’eau Pertuis charentais ainsi que dans la synthèse générale sur les Angiospermes des côtes françaises du Manche-Atlantique (Auby et al., 2010).","Zostera nolti, Zostera marina","https://www.gbif.org/species/2863938, https://www.gbif.org/species/2863967","Inventaire des herbiers à Zostera noltii dans la masse d’eau côtière Pertuis charentais. Etat 2007 surveillance DCE Lien vers les données
La répartition des herbiers de Zostera noltii Hornemann, 1832 sur les estrans de la baie de Marennes-Oléron présents dans la masse d’eau côtière FRFC02 « Pertuis charentais » a été cartographiée en 2007 dans le cadre du contrôle de surveillance DCE sous l’égide d’Ifremer et de l’Agence de l’Eau Adour-Garonne. L’emprise géographique des estrans dans la masse d’eau côtière s’étend sur Oléron de Boyardville au Nord jusqu’à Gatseau au Sud puis sur le continent de Bourcefranc le Chapus jusqu’à la plage de la Cèpe en passant par la plage de Marennes et l’embouchure de la Seudre. Sont contributrices les données issues de l’analyse d’une image SPOT 5 acquises le 08/09/2006 et traitée en indice de végétation par GéoTransfert, des vérités terrains avec relevés GPS, contours des périmètres d’herbier et estimations des pourcentages de recouvrement (< 25% ; entre 25 et 75% et > 75%), lors des prospections DCE au cours de l’été 2007 par LIENSs et de la photo interprétation des Ortholittorale2000 afin de guider les prospections terrains. Les indices de végétations ont été traduits par ajustement linéaire en pourcentages de recouvrement à partir des vérités terrain comportant plus de 910 points d’observations. L’herbier à Zostera noltii des estrans de l’île d’Oléron se repartit principalement entre la Perrotine et St Trojan. De petits herbiers sont présents au nord de Bourcefranc le Chapus mais présentent leur plein développement du Chapus jusqu’à l’embouchure de la Seudre. Les herbiers des estrans de La Tremblade à Ronce-les-bains sont très clairsemés et peu denses. Au total l’ensemble de l’herbier couvre une superficie de plus de 1300 ha. L’herbier le plus dense et le plus continu se situe dans le périmètre de la réserve naturelle de Moëze Oléron ente Boyardville et le Château. Les herbiers sont néanmoins impactés par la pêche à pied aux coquillages fouisseurs en particulier au Sud du Château d’Oléron. Zostera marina n’est pas observée sur les estrans de cette masse d’eau Nord et bien qu’historiquement connue sur le Nord et l’Ouest d’Oléron ne doit pas y trouver un habitat potentiel. Cette carte est présentée dans les documents DCE (Sauriau et al., 2008) du contrôle de surveillance de l’herbier de Zostera noltii de la masse d’eau Pertuis charentais ainsi que dans la synthèse générale sur les Angiospermes des côtes françaises du Manche-Atlantique (Auby et al., 2010).",Zostera noltii,"Zostera marina, Zostera nolti",0.0,0.0,0.0,0.0,{'Zostera noltii': 'https://www.gbif.org/species/2863938'},[],[]
https://pndb.opendatasoft.com/explore/assets/distribution-de-jorunna-tomentosa-cperm-2418-aphiaid-140166-en-atlantique/,"Distribution de Jorunna tomentosa (CPERM 2418, AphiaID 140166) en ATLANTIQUE","Lien vers les données
Distribution du taxon Jorunna tomentosa établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Jorunna tomentosa,https://www.gbif.org/fr/species/2292454,"Distribution de Jorunna tomentosa (CPERM 2418, AphiaID 140166) en ATLANTIQUE Lien vers les données
Distribution du taxon Jorunna tomentosa établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",,Jorunna tomentosa,1.0,0.0,0.0,0.0,{},[],['tomentosa']
